"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ACBD7",24.4774859468957,-0.111752137045131,0.408524548035568,-0.273550604443484,0.784429998339748,0.928927912151436
"ACBD7-DCLRE1CP1",0,NA,NA,NA,NA,NA
"ACCS",448.652012278596,0.475070802411413,0.221267987410066,2.14703811415334,0.0317902474119685,0.204121904033083
"ACCSL",0,NA,NA,NA,NA,NA
"ACD",230.383826483958,0.021180219218706,0.169836559123975,0.124709422564579,0.90075359751425,0.967140990784184
"ACE",60.3971272254658,0.593765344165566,0.252541942054626,2.35115537377602,0.0187152171803872,0.141921914683402
"ACE2",0.490083449980566,-0.777650756917651,3.05228837426334,-0.254776306024929,0.798895876550792,NA
"ACER1",0.675916333855334,0.124651913404572,2.44848114307443,0.0509098931626049,0.959397322130516,NA
"ACER2",39.4774706805755,0.113670517907583,0.304682418375061,0.373078691293751,0.709089877510739,0.90155161175582
"ACER3",553.567153385955,0.0401119957607613,0.110383168073277,0.363388698303471,0.716314543051835,0.904371527788091
"ACHE",4.17786041509867,-0.943282058686937,1.08246863209738,-0.871417453325408,0.383526259442053,NA
"ACIN1",5332.21412981866,0.0737116694918288,0.104443572658965,0.705755917910968,0.480339940113228,0.78483864571494
"ACKR1",1402.72688911417,0.378464536725174,0.180902273387523,2.09209386724754,0.0364301196597671,0.221781120994134
"ACKR2",9.40798666355113,1.08510277378127,0.68730611104664,1.57877655434906,0.114387318180787,NA
"ACKR3",947.370563366052,0.637763094085022,0.146582684866749,4.35087605786986,1.35594685687634e-05,0.000466102259931001
"ACKR4",16.7978333115296,0.764179728344912,0.493960402613905,1.5470465330846,0.121852025268565,NA
"ACLY",6200.61586585648,-0.00464342524499546,0.111562386425103,-0.0416217812632829,0.966800209348581,0.988154960836451
"ACMSD",0,NA,NA,NA,NA,NA
"ACO1",3184.44643387665,0.329454310873771,0.0888254948208357,3.70900619848268,0.000208074334739101,0.00446329909832928
"ACO2",1891.62850767019,-0.141886894329297,0.159412243267904,-0.890062716769159,0.373432210943748,0.711434464806751
"ACOD1",0,NA,NA,NA,NA,NA
"ACOT1",63.4856570309466,0.392296595086994,0.287146331530497,1.36619051685614,0.171879173224251,0.51464993536326
"ACOT11",13.9889626184581,-0.118278799167318,0.524797204979657,-0.225380009735194,0.821683661535284,NA
"ACOT12",0.320746907069303,0.152826497390086,3.47307460318694,0.0440032290840659,0.964901829925545,NA
"ACOT13",371.616949382154,-0.130257916617844,0.15376774333086,-0.8471082022552,0.396934813703977,0.729580523834002
"ACOT2",154.555363193873,-0.0676327029824937,0.197258316630673,-0.342863632508446,0.731701052253704,0.908911390506928
"ACOT4",7.24861972039836,-0.217697558068164,0.692391466157141,-0.314413982131254,0.753206638018501,NA
"ACOT6",0.174908655330474,1.11459488400279,4.0804728567969,0.27315336313197,0.784735327961881,NA
"ACOT7",712.792869574831,-0.394291957075079,0.212178526989187,-1.85830282955623,0.0631260222481084,0.305826713585234
"ACOT8",183.050857366353,-0.0232306315567736,0.253522335054653,-0.0916314988648465,0.926990824246435,0.975956060950964
"ACOT9",691.810853882016,-0.0614737046572849,0.107385338317787,-0.572459011819333,0.56701104667687,0.834314424678818
"ACOX1",1124.95186173818,0.0573396862554406,0.0993870195892181,0.576933350979176,0.56398447988449,0.832776811054645
"ACOX2",143.489387567479,0.136259940636146,0.193341858978408,0.704761717695922,0.480958536015834,0.785400561343723
"ACOX3",318.893116064657,0.206946544925331,0.137447154500435,1.50564444696944,0.13215847202354,0.453990188813502
"ACOXL",0.165195115036011,1.11459488400279,4.0804728567969,0.27315336313197,0.784735327961881,NA
"ACOXL-AS1",2.19629389069541,0.811008193253224,1.25888011735541,0.644229885016332,0.519426374446208,NA
"ACP1",1305.32279734394,-0.151018705967922,0.118503915663072,-1.27437734966746,0.202529715632176,0.558543000689244
"ACP2",752.433878340398,-0.0614742431958966,0.132688191646662,-0.463298522897936,0.643150404411353,0.874357035236472
"ACP4",0,NA,NA,NA,NA,NA
"ACP5",1.35422016026361,0.939314502974574,1.62035467166696,0.579696852423205,0.562119066332941,NA
"ACP6",159.403778934514,0.0570607959215238,0.169630836967846,0.336382210578492,0.736582662599827,0.910440421974431
"ACP7",0,NA,NA,NA,NA,NA
"ACPP",0.967592837332994,-0.824723110002065,1.95341192119029,-0.422196210157009,0.672881807524719,NA
"ACR",0.360741539205242,2.0448779329239,3.30031878328377,0.619600125685216,0.535521083989679,NA
"ACRBP",13.3997307844178,0.165518843068711,0.540698530800285,0.306120386204355,0.759512986593986,NA
"ACRV1",0.833965193211508,-0.412054811785437,1.92315460300752,-0.214259847409587,0.830344428041434,NA
"ACSBG1",0.162444167472278,-0.808958467639697,4.0804728567969,-0.198251157654977,0.842848563693048,NA
"ACSBG2",0.502547937838762,1.01974056554669,2.64545341011369,0.385469107733359,0.699889889955516,NA
"ACSF2",217.602223802113,0.196732584745695,0.158192446442661,1.24362818307512,0.213636438667893,0.569638870848404
"ACSF3",250.49063275616,0.0532874856853033,0.162377556648035,0.328170264322968,0.742782929585133,0.913956933002938
"ACSL1",1400.51967360433,0.30517393938652,0.0898313278128513,3.39718833971039,0.000680820911529419,0.0119056843428259
"ACSL3",4755.13542809898,-0.254563405596134,0.0738947445536745,-3.44494601251687,0.000571173459891494,0.0102074730253311
"ACSL4",2188.07471168299,-0.126263505451916,0.0871942432926982,-1.44807157770804,0.147597033459985,0.480215021621456
"ACSL5",23.5411076009671,0.0219360925674758,0.400251633104859,0.0548057540635416,0.956293216214842,0.984851144680687
"ACSL6",0.536607002544696,1.11402541246727,2.97089376912924,0.374979887885318,0.707675424295543,NA
"ACSM1",0.476228481810851,0.98449548785355,3.0695797448131,0.320726473882012,0.748417683053772,NA
"ACSM2A",0,NA,NA,NA,NA,NA
"ACSM2B",0,NA,NA,NA,NA,NA
"ACSM3",24.5882232127326,0.335306962186196,0.415530192835405,0.806937661733316,0.419702399219238,0.745769526261113
"ACSM4",0,NA,NA,NA,NA,NA
"ACSM5",0,NA,NA,NA,NA,NA
"ACSM6",0,NA,NA,NA,NA,NA
"ACSS1",256.767254899104,0.273329741052082,0.150594104713412,1.81500956874934,0.0695224390047175,0.32267508583183
"ACSS2",840.081230085883,0.280805120909419,0.136237144912368,2.06114948379197,0.0392887811729876,0.233510146497118
"ACSS3",128.2527208427,0.215903849614335,0.207220253173382,1.04190515313041,0.297455654759277,0.651631456230681
"ACTA1",1.13675506171404,1.4214045688346,2.16526383450659,0.656457908815763,0.51152954130887,NA
"ACTA2",1212.49805015239,0.213088926320165,0.14278194467501,1.4924080688576,0.135592201037182,0.45964158505949
"ACTA2-AS1",16.3155783686636,-0.345747769795065,0.573277621476402,-0.603107040712031,0.546437482924025,NA
"ACTB",63062.9816664202,-0.263254208719296,0.118163091785001,-2.22788863038799,0.0258879425451531,0.178354370956243
"ACTBL2",0.33013634983117,0.152826710940733,3.44000382898519,0.0444263200095965,0.964564582022694,NA
"ACTC1",53.0002082768029,-2.04581058799893,0.304229976899805,-6.72455294789277,1.76132365022969e-11,2.52326280703981e-09
"ACTG1",52881.1891155347,-0.183992181132459,0.120945407486068,-1.52128290736176,0.128188857721107,0.446535946093739
"ACTG1P17",9.50812123707336,0.877245276386423,0.768547939699893,1.14143208389704,0.253690159621398,NA
"ACTG1P20",36.5821865153488,0.599312824996038,0.419360190465503,1.42911234452365,0.152971946001528,0.486695292926173
"ACTG1P4",3.28245418926181,0.723756338125389,1.07514467191519,0.673171115507773,0.500838434979928,NA
"ACTG2",22.6940345466113,0.516242761241425,0.415752456788465,1.24170706104592,0.214344663785677,0.570359942769568
